FNODE_,TNODE_,LPOLY_,RPOLY_,LENGTH,MAJRIVRS0_,F_ID,PERMIT_NUM,WELL_NAME,OPERATOR,OPERATOR_N,WELL_TYPE,WELL_TYPE_,WELL_STATU,WELL_STA_1,PERMIT_DAT,SPUD_DATE,CONSERVATI,COUNTY,COUNTY_ID,MUNICIPALI,MUNICIPA_1,MUNICIPA_2,LATITUDE,LONGITUDE,PRMRY_FID,UNCONVENTI,SURFACE_EL,WELL_CONFI,COAL_IND,WELL_PAD_N,OLDEST_FOR,TARGET_FOR,PRODUCING_,WELL_PAD_L,ACCESS_ROA,TOTAL_MAXI,REACH_CODE,HUC_CODE,REGION,DATE_PLUGG,WELL_PAD_I,UIC_ID,UIC_TYPE_D,STORAGE_FI,SITE_ID,SITE_NAME,PERMIT_D_1
"4","5","0","0",57271.00000000000,"3","25123",123-25554,RUSSELL SOUTHWELL 8,PINE RIDGE ENERGY,OGO-62075,OIL,"7",Active,"7",1976/05/11,1976/07/25,N,Warren,"62",Farmington,Twp,"62913",41.99878700000,-79.26786100000,"214325",N,"0",Vertical Well,NonCoal,,,,,,,,,,EP DOGO NWDO Dstr Off,,"0",,,,"212348",RUSSELL SOUTHWELL 8 WELL,1977/05/11
"4","5","0","0",57271.00000000000,"3","25123",123-37582,SOUTHWELL 10,PINE RIDGE ENERGY,OGO-62075,OIL,"7",Active,"7",1985/04/08,1986/02/01,N,Warren,"62",Farmington,Twp,"62913",41.99863100000,-79.26592200000,"226259",N,"0",Vertical Well,NonCoal,,,,,,,,,,EP DOGO NWDO Dstr Off,,"0",,,,"224282",SOUTHWELL 10 WELL,1986/04/08
"4","5","0","0",57271.00000000000,"3","25123",123-05438,TAM 1,UNKNOWN OPR,OGO-99999,GAS,"3",DEP Abandoned List,"23",,1800/01/01,N,Warren,"62",Columbus,Twp,"62906",41.99805800000,-79.54970000000,"748960",N,"0",Vertical Well,,,,,,,,,,,EP DOGO NWDO Dstr Off,,"0",,,,"757110",TAM 1 OG WELL,
"4","5","0","0",57271.00000000000,"3","25123",123-37605,SOUTHWELL 33,PINE RIDGE ENERGY,OGO-62075,OIL,"7",Active,"7",1979/11/28,1985/04/09,N,Warren,"62",Farmington,Twp,"62913",41.99875900000,-79.27131000000,"226282",N,"0",Vertical Well,NonCoal,,,,,,,,,,EP DOGO NWDO Dstr Off,,"0",,,,"224305",SOUTHWELL 33 WELL,1980/11/28
"4","5","0","0",57271.00000000000,"3","25123",123-37604,SOUTHWELL 32,PINE RIDGE ENERGY,OGO-62075,OIL,"7",Active,"7",1979/11/28,1985/05/29,N,Warren,"62",Farmington,Twp,"62913",41.99876600000,-79.27005000000,"226281",N,"0",Vertical Well,NonCoal,,,,,,,,,,EP DOGO NWDO Dstr Off,,"0",,,,"224304",SOUTHWELL 32 WELL,1980/11/28
"4","5","0","0",57271.00000000000,"3","25123",123-33799,HIBNER 3,JOHN C HIBNER,OGO-62965,OIL,"7",Plugged OG Well,"15",1983/09/28,1983/10/05,N,Warren,"62",Farmington,Twp,"62913",41.99841200000,-79.25341300000,"222471",N,"0",Vertical Well,NonCoal,,,,,,,,,,EP DOGO NWDO Dstr Off,,"0",,,,"220494",HIBNER 3 WELL,1984/09/28
"4","5","0","0",57271.00000000000,"3","25123",123-25553,RUSSELL SOUTHWELL 7,PINE RIDGE ENERGY,OGO-62075,OIL,"7",Plugged OG Well,"15",1976/05/11,1976/06/10,N,Warren,"62",Farmington,Twp,"62913",41.99876500000,-79.26897200000,"214324",N,"0",Vertical Well,NonCoal,,,,,,,,,,EP DOGO NWDO Dstr Off,2018/09/16,"0",,,,"212347",RUSSELL SOUTHWELL 7 WELL,1977/05/11
"4","5","0","0",57271.00000000000,"3","25123",123-45821,JONES JS 5,CURTIS & SON OIL INC,OGO-2647,OIL,"7",Active,"7",2009/10/08,2010/01/27,N,Warren,"62",Sugar Grove,Twp,"62926",41.99822200000,-79.31825000000,"723053",N,"1520",Vertical Well,NonCoal,,,,,,,,,,EP DOGO NWDO Dstr Off,,"0",,,,"725117",JONES JS 5 OG WELL,2010/10/08
"4","5","0","0",57271.00000000000,"3","25123",123-24053,RUSSELL SOUTHWELL 5,PINE RIDGE ENERGY,OGO-62075,OIL,"7",Active,"7",1973/09/28,1973/10/25,N,Warren,"62",Farmington,Twp,"62913",41.99857300000,-79.27266000000,"212824",N,"1615",Vertical Well,NonCoal,,,,,,,,,,EP DOGO NWDO Dstr Off,,"0",,,,"210847",RUSSELL SOUTHWELL 5 WELL,1974/09/28
"4","5","0","0",57271.00000000000,"3","25123",123-26258,COFFARO 2,CURTIS & SON OIL INC,OGO-2647,OIL,"7",Active,"7",1979/08/24,1980/01/28,N,Warren,"62",Sugar Grove,Twp,"62926",41.99868400000,-79.30771800000,"215029",N,"1390",Vertical Well,NonCoal,,,,,,,,,,EP DOGO NWDO Dstr Off,,"0",,,,"213052",COFFARO 2 WELL,1980/08/24
"4","5","0","0",57271.00000000000,"3","25123",123-25555,RUSSELL SOUTHWELL 9,PINE RIDGE ENERGY,OGO-62075,OIL,"7",Active,"7",1976/05/11,1976/08/30,N,Warren,"62",Farmington,Twp,"62913",41.99879500000,-79.26671700000,"214326",N,"0",Vertical Well,NonCoal,,,,,,,,,,EP DOGO NWDO Dstr Off,,"0",,,,"212349",RUSSELL SOUTHWELL 9 WELL,1977/05/11
"4","5","0","0",57271.00000000000,"3","25123",123-26259,COFFARO 3,CURTIS & SON OIL INC,OGO-2647,OIL,"7",Active,"7",1979/08/24,1980/02/18,N,Warren,"62",Sugar Grove,Twp,"62926",41.99868400000,-79.30685300000,"215030",N,"1390",Vertical Well,NonCoal,,,,,,,,,,EP DOGO NWDO Dstr Off,,"0",,,,"213053",COFFARO 3 WELL,1980/08/24
"4","5","0","0",57271.00000000000,"3","25123",123-24052,RUSSELL SOUTHWELL 4,PINE RIDGE ENERGY,OGO-62075,OIL,"7",Active,"7",1973/09/28,1973/09/29,N,Warren,"62",Farmington,Twp,"62913",41.99852400000,-79.27384100000,"212823",N,"1574",Vertical Well,NonCoal,,,,,,,,,,EP DOGO NWDO Dstr Off,,"0",,,,"210846",RUSSELL SOUTHWELL 4 WELL,1974/09/28
"4","5","0","0",57271.00000000000,"3","25123",123-23752,RUSSELL SOUTHWELL 3,PINE RIDGE ENERGY,OGO-62075,OIL,"7",Active,"7",1973/01/09,1973/09/01,N,Warren,"62",Farmington,Twp,"62913",41.99854600000,-79.27514400000,"212523",N,"1558",Vertical Well,NonCoal,,,,,,,,,,EP DOGO NWDO Dstr Off,,"0",,,,"210546",RUSSELL SOUTHWELL 3 WELL,1974/01/09
"4","5","0","0",57271.00000000000,"3","25123",123-45822,JONES JS 6,CURTIS & SON OIL INC,OGO-2647,OIL,"7",Active,"7",2009/10/08,2010/01/13,N,Warren,"62",Sugar Grove,Twp,"62926",41.99863900000,-79.31938900000,"723055",N,"1570",Vertical Well,NonCoal,,,,,,,,,,EP DOGO NWDO Dstr Off,,"0",,,,"725118",JONES JS 6 OG WELL,2010/10/08
"6","3","0","0",56646.60000000000,"4","85117",117-90091,F B JAY 1,GODFREY L CABOT INC,OGO-10891,DRY HOLE,"2",Plugged OG Well,"15",,1800/01/01,N,Tioga,"59",Brookfield,Twp,"59905",41.99854300000,-77.57673200000,"798064",N,"2059",Vertical Well,,,,,,,,,,,EP DOGO NCDO Dstr Off,,"0",,,,"804503",F B JAY,
"6","3","0","0",56646.60000000000,"4","85117",117-90090,UNION STOCK BANK 1,GODFREY L CABOT INC,OGO-10891,DRY HOLE,"2",Plugged OG Well,"15",,1800/01/01,N,Tioga,"59",Brookfield,Twp,"59905",41.99839200000,-77.60445300000,"802002",N,"2175",Vertical Well,,,,,,,,,,,EP DOGO NCDO Dstr Off,,"0",,,,"808441",UNION STOCK BANK,
"5","7","0","0",59000.70000000000,"5","25083",083-52524,WARRANT 4335 3,FIRST AMER ENERGY INC,OGO-69268,OIL,"7",Active,"7",2007/09/28,2008/06/23,N,McKean,"42",Foster,Twp,"42910",41.99801400000,-78.70122500000,"697631",N,"2310",Vertical Well,NonCoal,,,,,,,,,,EP DOGO NWDO Dstr Off,,"0",,,,"694645",WARRANT 4335 3 OG WELL,2008/09/28
"5","7","0","0",59000.70000000000,"5","25083",083-09296,BURNS F31 10,QUAKER STATE CORP,OGO-12295,OIL,"7",Plugged OG Well,"15",,1800/01/01,N,McKean,"42",Otto,Twp,"42919",41.99906900000,-78.47893800000,"141119",N,"0",Vertical Well,NonCoal,,,,,,,,,,EP DOGO NWDO Dstr Off,1992/01/28,"0",,,,"139187",BURNS F31 10 WELL,
